City,Specialization,Name,Experience,Fees,Location,Phone Number
agra,orthodontist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,orthodontist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,orthodontist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,orthodontist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,orthodontist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,orthodontist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,orthodontist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,pediatrician,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,pediatrician,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,pediatrician,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,pediatrician,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,pediatrician,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,pediatrician,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,pediatrician,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,pediatrician,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,pediatrician,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,pediatrician,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,ayurveda,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,ayurveda,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,ayurveda,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,ayurveda,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ayurveda,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,ayurveda,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ayurveda,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,ayurveda,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,ayurveda,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ayurveda,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,physiotherapist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,physiotherapist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,physiotherapist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,physiotherapist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,physiotherapist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,physiotherapist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,physiotherapist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,physiotherapist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,physiotherapist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,physiotherapist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
ahmedabad,general-physician,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,general-physician,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,dentist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,cardiologist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,ophthalmologist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,dermatologist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,neurologist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,urologist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,orthodontist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,pediatrician,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,ayurveda,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Ami Shah,18 years experience overall,₹1500,"Manek Baug,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Shah Shailesh Anantray,43 years experience overall,₹1700,"Paldi,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Dhaval Patel,16 years experience overall,₹800,"Vadaj,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Tapan Shah,22 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Mohit Dave,14 years experience overall,₹800,"Satellite,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Pankaj Dubey,28 years experience overall,₹800,"Bhat,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Shrikant Lagvankar,45 years experience overall,₹1000,"Bhat,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Pathak Harsh Dilipkumar,14 years experience overall,₹600,"Paldi,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Chirag Desai,32 years experience overall,₹1200,"Bhat,, Ahmedabad",N/A
ahmedabad,physiotherapist,Dr. Jayesh Pavra,30 years experience overall,₹1000,"Bopal,, Ahmedabad",N/A
allahabad,general-physician,Dr. Mukesh Basantani,22 years experience overall,₹100,"Lukerganj,, Allahabad",N/A
allahabad,general-physician,Dr. Vandana Bansal,39 years experience overall,₹600,"Bai Ka Bagh,, Allahabad",N/A
allahabad,general-physician,Dr. Ritika Pandey,13 years experience overall,₹250,"Civil Lines,, Allahabad",N/A
allahabad,general-physician,Dr. S.P.Shukla,25 years experience overall,₹500,"Allahabad Kty.,, Allahabad",N/A
allahabad,general-physician,Dr. Radha Mohan Mishra,15 years experience overall,₹300,"George Town,, Allahabad",N/A
allahabad,general-physician,Dr. Arpit Bansal,16 years experience overall,₹700,"Bai Ka Bagh,, Allahabad",N/A
allahabad,general-physician,Dr. Umesh Singh,38 years experience overall,₹800,"George Town,, Allahabad",N/A
allahabad,general-physician,Dr. Rishi Raj,7 years experience overall,₹300,"Roshan Bagh,, Allahabad",N/A
allahabad,general-physician,Dr. Harshit Bansal,5 years experience overall,₹500,"Bai Ka Bagh,, Allahabad",N/A
allahabad,general-physician,Dr. Sakshi Rajoria Bansal,7 years experience overall,₹800,"Bai Ka Bagh,, Allahabad",N/A
allahabad,dentist,Dr. Mukesh Basantani,22 years experience overall,₹100,"Lukerganj,, Allahabad",N/A
allahabad,dentist,Dr. Vandana Bansal,39 years experience overall,₹600,"Bai Ka Bagh,, Allahabad",N/A
allahabad,dentist,Dr. Ritika Pandey,13 years experience overall,₹250,"Civil Lines,, Allahabad",N/A
allahabad,dentist,Dr. S.P.Shukla,25 years experience overall,₹500,"Allahabad Kty.,, Allahabad",N/A
allahabad,dentist,Dr. Radha Mohan Mishra,15 years experience overall,₹300,"George Town,, Allahabad",N/A
allahabad,dentist,Dr. Arpit Bansal,16 years experience overall,₹700,"Bai Ka Bagh,, Allahabad",N/A
allahabad,dentist,Dr. Umesh Singh,38 years experience overall,₹800,"George Town,, Allahabad",N/A
allahabad,dentist,Dr. Rishi Raj,7 years experience overall,₹300,"Roshan Bagh,, Allahabad",N/A
allahabad,dentist,Dr. Harshit Bansal,5 years experience overall,₹500,"Bai Ka Bagh,, Allahabad",N/A
allahabad,dentist,Dr. Sakshi Rajoria Bansal,7 years experience overall,₹800,"Bai Ka Bagh,, Allahabad",N/A
allahabad,cardiologist,Dr. Mukesh Basantani,22 years experience overall,₹100,"Lukerganj,, Allahabad",N/A
allahabad,cardiologist,Dr. Vandana Bansal,39 years experience overall,₹600,"Bai Ka Bagh,, Allahabad",N/A
allahabad,cardiologist,Dr. Ritika Pandey,13 years experience overall,₹250,"Civil Lines,, Allahabad",N/A
allahabad,cardiologist,Dr. S.P.Shukla,25 years experience overall,₹500,"Allahabad Kty.,, Allahabad",N/A
allahabad,cardiologist,Dr. Radha Mohan Mishra,15 years experience overall,₹300,"George Town,, Allahabad",N/A
allahabad,cardiologist,Dr. Arpit Bansal,16 years experience overall,₹700,"Bai Ka Bagh,, Allahabad",N/A
allahabad,cardiologist,Dr. Umesh Singh,38 years experience overall,₹800,"George Town,, Allahabad",N/A
allahabad,cardiologist,Dr. Rishi Raj,7 years experience overall,₹300,"Roshan Bagh,, Allahabad",N/A
allahabad,cardiologist,Dr. Harshit Bansal,5 years experience overall,₹500,"Bai Ka Bagh,, Allahabad",N/A
